n1,n2,t
8,10,76480
43,23,76480
45,25,76480
13,43,76480
9,7,76500
43,24,76500
0,22,76500
48,2,76500
47,48,76500
13,24,76500
45,25,76500
2,43,76500
29,34,76500
13,43,76500
10,45,76520
9,7,76520
43,24,76520
0,22,76520
13,2,76520
13,24,76520
10,7,76520
4,25,76520
11,45,76520
9,10,76520
2,43,76520
11,10,76520
29,34,76520
13,43,76520
10,45,76540
43,24,76540
0,22,76540
13,2,76540
2,24,76540
48,7,76540
47,48,76540
48,10,76540
13,24,76540
4,25,76540
2,43,76540
9,46,76540
29,34,76540
47,45,76540
13,43,76540
10,45,76560
4,45,76560
9,7,76560
43,24,76560
0,22,76560
13,2,76560
13,24,76560
10,7,76560
11,44,76560
9,10,76560
2,43,76560
29,34,76560
13,43,76560
4,45,76580
43,24,76580
13,2,76580
47,48,76580
10,7,76580
11,44,76580
9,10,76580
8,9,76580
45,25,76580
2,43,76580
29,34,76580
8,7,76580
13,43,76580
13,2,76600
43,45,76600
10,7,76600
11,43,76600
8,10,76600
10,43,76600
45,25,76600
11,10,76600
29,34,76600
4,45,76620
43,24,76620
13,2,76620
2,24,76620
4,25,76620
11,42,76620
2,43,76620
29,34,76620
13,43,76620
43,24,76640
9,4,76640
13,2,76640
2,24,76640
11,42,76640
45,25,76640
2,43,76640
13,43,76640
43,24,76660
13,2,76660
2,24,76660
2,43,76660
13,43,76660
43,24,76680
2,24,76680
11,42,76680
43,23,76680
2,43,76680
13,43,76680
43,24,76700
13,45,76700
2,24,76700
9,10,76700
10,21,76700
2,43,76700
13,43,76700
9,12,76720
43,24,76720
13,2,76720
2,24,76720
9,13,76720
45,25,76720
2,43,76720
29,34,76720
13,43,76720
43,24,76740
12,45,76740
45,21,76740
13,2,76740
43,23,76740
45,25,76740
2,43,76740
12,25,76740
13,43,76740
11,3,76760
13,2,76760
0,43,76760
2,24,76760
43,7,76760
11,4,76760
12,25,76760
4,3,76760
11,3,76780
12,45,76780
11,46,76780
43,7,76780
45,25,76780
13,43,76780
13,7,76800
43,42,76800
0,2,76800
13,43,76800
4,3,76800
43,42,76820
13,45,76820
11,46,76820
0,2,76820
4,3,76820
43,42,76840
11,46,76840
10,4,76840
0,2,76840
13,43,76840
9,21,76860
11,46,76860
43,45,76860
10,4,76860
0,2,76860
12,43,76860
48,30,76860
13,12,76860
13,43,76860
9,43,76880
4,45,76880
4,2,76880
47,48,76880
11,46,76880
43,45,76880
4,0,76880
4,13,76880
10,4,76880
10,43,76880
10,13,76880
4,43,76880
0,2,76880
48,30,76880
3,2,76880
13,43,76880
10,45,76900
0,3,76900
13,45,76900
4,2,76900
11,46,76900
43,45,76900
4,0,76900
10,43,76900
10,13,76900
0,2,76900
9,13,76900
48,30,76900
3,2,76900
4,45,76920
48,37,76920
2,45,76920
4,2,76920
11,46,76920
10,43,76920
10,13,76920
48,30,76920
3,2,76920
0,3,76940
2,45,76940
4,2,76940
11,46,76940
48,30,76940
3,2,76940
13,43,76940
8,43,76960
0,3,76960
4,2,76960
4,0,76960
48,30,76960
3,2,76960
13,43,76960
47,30,76980
43,34,76980
0,3,76980
4,2,76980
47,48,76980
4,0,76980
48,30,76980
3,2,76980
13,43,76980
0,3,77000
0,2,77000
48,30,77000
13,43,77000
4,3,77000
43,34,77020
0,3,77020
4,2,77020
0,2,77020
48,30,77020
13,43,77020
4,3,77020
0,3,77040
4,2,77040
0,2,77040
45,25,77040
48,30,77040
4,3,77040
9,21,77060
0,3,77060
4,2,77060
4,0,77060
0,2,77060
48,30,77060
4,3,77060
9,21,77080
12,37,77080
0,2,77080
48,30,77080
3,2,77080
13,43,77080
4,3,77080
9,21,77100
4,2,77100
4,0,77100
12,37,77100
7,21,77100
48,30,77100
13,43,77100
4,3,77100
9,21,77120
0,3,77120
4,2,77120
4,0,77120
48,30,77120
13,43,77120
4,3,77120
9,21,77140
0,3,77140
47,48,77140
48,30,77140
4,3,77140
9,21,77160
0,3,77160
4,0,77160
4,3,77160
9,21,77180
8,21,77180
0,3,77180
4,2,77180
11,46,77180
4,0,77180
0,2,77180
4,3,77180
9,21,77200
0,3,77200
4,2,77200
4,0,77200
12,37,77200
10,43,77200
0,2,77200
7,21,77200
48,30,77200
3,2,77200
4,3,77200
9,21,77220
0,3,77220
47,48,77220
4,0,77220
0,2,77220
3,2,77220
9,21,77240
4,42,77240
8,13,77240
2,42,77260
9,21,77260
4,2,77260
48,0,77260
8,10,77260
10,43,77260
4,42,77260
2,42,77280
9,21,77280
8,43,77280
4,2,77280
8,10,77280
10,43,77280
4,42,77280
2,42,77300
9,21,77300
8,43,77300
4,2,77300
11,46,77300
8,10,77300
10,43,77300
4,42,77300
2,42,77320
9,21,77320
8,43,77320
4,2,77320
12,37,77320
10,43,77320
4,42,77320
7,21,77320
9,21,77340
8,43,77340
13,31,77340
4,2,77340
8,10,77340
10,43,77340
45,25,77340
2,42,77360
9,21,77360
8,43,77360
13,31,77360
4,2,77360
47,48,77360
8,10,77360
10,43,77360
9,21,77380
12,37,77380
0,2,77380
9,21,77400
47,48,77400
4,0,77400
12,37,77400
0,2,77400
9,21,77420
4,2,77420
12,37,77420
0,2,77420
9,21,77440
4,2,77440
10,43,77440
0,2,77440
9,21,77460
4,2,77460
4,0,77460
10,43,77460
0,2,77460
9,21,77480
11,37,77480
13,31,77480
4,2,77480
10,43,77480
0,2,77480
45,25,77480
9,21,77500
11,37,77500
13,31,77500
4,2,77500
10,43,77500
0,2,77500
45,25,77500
45,46,77520
9,21,77520
11,37,77520
0,49,77520
13,31,77540
0,49,77540
11,4,77540
2,49,77540
12,37,77540
0,2,77540
13,31,77560
0,49,77560
11,4,77560
2,49,77560
10,43,77560
0,2,77560
7,21,77560
45,46,77580
9,21,77580
13,31,77580
11,4,77580
2,49,77580
48,4,77580
10,43,77580
0,2,77580
7,21,77580
9,21,77600
0,49,77600
11,4,77600
9,21,77620
11,2,77620
10,2,77620
0,49,77620
12,37,77620
11,10,77620
3,2,77620
9,21,77640
4,46,77640
11,35,77640
29,34,77640
3,2,77640
0,49,77660
11,35,77660
47,34,77660
3,2,77660
4,46,77680
0,49,77680
11,35,77680
47,34,77680
4,46,77700
0,49,77700
47,34,77700
4,46,77720
47,34,77720
48,34,77740
0,49,77740
3,2,77740
48,34,77760
47,48,77760
0,49,77760
11,30,77760
45,25,77760
48,34,77780
47,48,77780
0,49,77780
11,45,77780
48,34,77800
4,13,77800
0,49,77800
11,45,77800
48,34,77820
9,21,77820
4,31,77820
13,31,77820
47,48,77820
4,13,77820
0,49,77820
0,2,77820
3,2,77820
9,21,77840
4,31,77840
4,13,77840
11,43,77840
45,46,77860
9,21,77860
0,49,77860
11,43,77860
45,46,77880
0,49,77880
11,43,77880
0,49,77900
11,43,77900
13,31,77920
0,49,77920
11,45,77920
0,49,77940
11,45,77940
0,2,77940
9,43,77960
43,7,77960
0,49,77960
12,37,77960
43,21,77960
11,33,77960
48,34,77980
8,45,77980
9,43,77980
43,7,77980
12,37,77980
43,21,77980
11,33,77980
43,7,78000
12,37,78000
11,33,78000
8,45,78020
9,43,78020
13,31,78020
43,7,78020
12,37,78020
43,21,78020
48,34,78040
9,43,78040
13,31,78040
47,48,78040
43,7,78040
7,21,78040
43,21,78040
13,31,78060
47,48,78060
43,7,78060
43,21,78060
9,43,78080
9,21,78080
33,13,78080
8,43,78080
43,7,78080
0,49,78080
7,21,78080
43,21,78080
11,31,78080
8,7,78080
9,43,78100
8,21,78100
8,43,78100
13,45,78100
47,35,78100
43,7,78100
0,49,78100
48,35,78100
7,21,78100
43,21,78100
11,31,78100
2,30,78100
8,7,78100
9,43,78120
8,43,78120
13,2,78120
47,48,78120
47,35,78120
48,35,78120
43,21,78120
11,31,78120
9,43,78140
13,2,78140
48,35,78140
21,25,78140
13,35,78140
11,31,78140
43,37,78160
9,21,78160
13,2,78160
2,35,78160
7,21,78160
13,35,78160
45,28,78160
11,31,78160
43,37,78180
13,2,78180
2,35,78180
0,49,78180
12,43,78180
13,35,78180
47,13,78180
11,31,78180
43,37,78200
8,43,78200
13,2,78200
48,13,78200
0,49,78200
47,8,78200
8,35,78200
12,43,78200
8,2,78200
11,31,78200
43,37,78220
43,30,78220
13,2,78220
0,49,78220
7,21,78220
12,43,78220
11,31,78220
11,33,78220
43,37,78240
13,2,78240
12,43,78240
11,33,78240
43,37,78260
13,2,78260
12,37,78260
48,35,78260
12,43,78260
11,33,78260
8,43,78280
13,2,78280
0,49,78280
48,35,78280
12,43,78280
8,43,78300
13,2,78300
0,49,78300
11,45,78300
48,35,78300
9,21,78320
0,49,78320
11,45,78320
8,35,78320
48,35,78320
47,43,78320
9,21,78340
8,43,78340
11,45,78340
48,35,78340
12,43,78340
9,21,78360
13,2,78360
0,49,78360
11,45,78360
48,35,78360
11,2,78380
47,48,78380
47,35,78380
45,28,78380
4,2,78400
0,49,78400
9,21,78420
8,43,78420
4,2,78420
48,12,78420
8,43,78440
4,2,78440
8,43,78460
4,2,78460
9,7,78480
8,43,78480
47,9,78480
4,2,78480
13,46,78480
2,45,78500
4,2,78500
11,45,78500
45,28,78500
13,46,78500
11,19,78500
9,7,78520
8,43,78520
0,49,78520
48,46,78540
2,21,78540
9,7,78540
8,43,78540
0,49,78540
11,45,78540
9,7,78560
8,43,78560
48,46,78580
9,7,78580
0,49,78580
11,45,78580
9,7,78600
8,43,78600
0,49,78600
45,28,78600
8,3,78620
0,49,78620
9,13,78620
13,7,78640
8,43,78640
8,3,78640
47,48,78640
3,43,78640
2,43,78640
13,46,78640
3,2,78640
8,43,78660
0,49,78660
3,43,78660
2,43,78660
8,2,78660
3,2,78660
8,43,78680
8,3,78680
3,43,78680
2,43,78680
8,2,78680
3,2,78680
43,24,78700
13,46,78700
3,2,78700
8,43,78720
11,13,78720
0,49,78720
13,46,78720
3,2,78720
43,24,78740
9,0,78740
9,2,78740
3,2,78740
43,24,78760
9,0,78760
45,28,78760
3,2,78760
43,24,78780
8,43,78780
13,2,78780
0,49,78780
3,2,78780
8,21,78800
8,3,78800
3,13,78800
13,2,78800
43,23,78800
8,13,78800
8,2,78800
3,2,78800
9,21,78820
13,7,78820
3,13,78820
13,2,78820
48,0,78820
9,0,78820
9,49,78820
8,2,78820
3,2,78820
12,2,78840
43,23,78840
13,46,78840
3,2,78840
43,24,78860
3,45,78860
48,2,78860
48,3,78860
43,23,78860
3,2,78860
13,7,78880
12,30,78880
0,49,78880
3,2,78880
13,7,78900
12,30,78900
13,2,78900
0,49,78900
9,13,78900
3,2,78900
13,7,78920
9,4,78920
12,30,78920
13,2,78920
4,13,78920
2,7,78920
9,4,78940
12,30,78940
48,23,78940
13,2,78940
9,2,78940
2,21,78960
13,7,78960
12,30,78960
0,3,78960
0,49,78960
2,43,78960
45,28,78960
3,49,78960
4,46,78980
0,3,78980
13,21,78980
0,49,78980
2,43,78980
4,7,78980
43,21,78980
0,3,79000
47,48,79000
13,24,79000
33,39,79000
43,21,79000
43,37,79020
9,4,79020
0,3,79020
13,23,79020
47,48,79020
13,24,79020
33,39,79020
43,30,79040
9,4,79040
0,3,79040
13,24,79040
3,21,79040
33,39,79040
8,43,79060
33,31,79060
13,23,79060
8,0,79060
43,21,79060
9,43,79080
4,49,79080
8,0,79080
9,0,79080
8,9,79080
43,21,79080
8,43,79100
12,30,79100
33,31,79100
0,3,79100
4,49,79100
13,2,79100
0,43,79100
9,0,79100
3,43,79100
43,21,79100
8,43,79120
0,3,79120
4,49,79120
13,2,79120
13,21,79120
45,28,79120
0,13,79120
8,13,79120
13,12,79120
13,43,79120
11,13,79140
9,13,79140
13,12,79140
43,37,79160
9,7,79160
43,30,79160
0,3,79160
43,37,79180
9,7,79180
43,30,79180
4,46,79180
11,4,79180
9,13,79180
9,7,79200
43,30,79200
13,7,79200
4,46,79200
33,31,79200
0,3,79200
11,4,79200
9,13,79200
9,7,79220
13,7,79220
8,29,79220
8,43,79220
33,31,79220
0,3,79220
11,4,79220
45,28,79220
9,7,79240
13,7,79240
4,46,79240
8,43,79240
33,31,79240
0,3,79240
3,21,79240
9,13,79240
13,43,79240
33,31,79260
0,3,79260
11,9,79260
12,43,79260
43,37,79280
43,30,79280
33,31,79280
0,3,79280
11,46,79280
11,4,79280
3,21,79280
49,7,79280
43,37,79300
9,7,79300
13,7,79300
9,4,79300
0,3,79300
11,4,79300
3,21,79300
9,43,79320
9,4,79320
3,21,79320
4,7,79320
9,25,79340
9,4,79340
33,31,79340
43,7,79340
0,49,79340
3,49,79340
9,4,79360
0,3,79360
0,49,79360
4,7,79360
8,13,79360
9,7,79380
9,4,79380
4,7,79380
8,13,79380
13,43,79380
9,25,79400
9,7,79400
9,4,79400
33,31,79400
0,49,79400
4,7,79400
13,43,79400
9,7,79420
9,4,79420
3,13,79420
4,25,79420
0,49,79420
4,7,79420
9,7,79440
9,4,79440
4,25,79440
2,49,79440
4,7,79440
9,7,79460
9,4,79460
33,31,79460
2,49,79460
0,2,79460
3,43,79460
4,7,79460
9,7,79480
33,31,79480
43,45,79480
0,49,79480
2,49,79480
10,43,79480
0,2,79480
33,31,79500
0,49,79500
10,43,79500
19,2,79500
0,49,79520
10,43,79520
9,7,79540
4,0,79540
10,43,79540
0,21,79540
9,7,79560
4,0,79560
0,49,79560
48,43,79560
0,21,79560
9,7,79580
33,31,79580
0,49,79580
9,7,79600
0,49,79600
10,43,79600
9,7,79620
0,49,79620
10,43,79620
9,7,79640
0,49,79640
10,43,79640
9,7,79660
0,49,79660
12,37,79660
10,43,79660
9,7,79680
47,48,79680
48,43,79680
12,37,79680
9,7,79700
48,10,79700
0,49,79700
10,43,79700
9,7,79720
0,49,79720
10,43,79720
9,7,79740
8,21,79740
0,49,79740
10,43,79740
9,7,79760
0,49,79760
10,43,79760
8,21,79780
0,49,79780
0,2,79780
0,21,79780
9,7,79800
33,31,79800
0,49,79800
13,49,79800
12,37,79800
0,2,79800
9,25,79820
9,7,79820
0,49,79820
12,37,79820
10,43,79820
0,2,79820
9,7,79840
0,49,79840
10,43,79840
0,2,79840
13,46,79840
47,48,79860
10,43,79860
13,46,79860
33,31,79880
47,48,79880
0,49,79880
12,37,79880
10,43,79880
13,46,79880
11,13,79900
12,37,79900
10,43,79900
13,46,79900
11,13,79920
12,37,79920
11,9,79920
10,43,79920
9,13,79920
9,46,79920
9,7,79940
11,13,79940
0,49,79940
12,37,79940
10,43,79940
9,13,79940
9,7,79960
8,43,79960
11,13,79960
0,49,79960
12,37,79960
10,43,79960
48,39,79960
9,7,79980
47,39,79980
33,31,79980
47,48,79980
0,49,79980
12,37,79980
10,43,79980
0,13,79980
48,39,79980
0,3,80000
13,21,80000
0,49,80000
12,37,80000
10,43,80000
48,39,80000
3,49,80000
33,31,80020
0,3,80020
47,48,80020
0,49,80020
48,39,80020
47,39,80040
33,31,80040
0,3,80040
0,49,80040
12,37,80040
31,39,80040
3,49,80040
9,7,80060
33,31,80060
8,39,80060
48,8,80060
0,49,80060
12,37,80060
9,46,80060
48,39,80060
3,49,80060
0,3,80080
0,49,80080
10,43,80080
9,46,80080
0,3,80100
0,49,80100
10,43,80100
9,7,80120
0,3,80120
0,49,80120
12,37,80120
9,46,80120
9,7,80140
33,31,80140
0,3,80140
10,43,80140
9,7,80160
45,46,80160
0,3,80160
11,8,80160
10,43,80160
45,28,80160
2,21,80180
9,7,80180
11,8,80180
48,39,80180
3,2,80180
9,7,80200
33,31,80200
11,8,80200
10,43,80200
9,7,80220
47,39,80220
11,8,80220
0,49,80220
10,43,80220
9,2,80220
48,39,80220
9,7,80240
47,39,80240
33,31,80240
0,49,80240
10,43,80240
3,2,80240
9,7,80260
8,43,80260
11,8,80260
0,49,80260
11,43,80260
9,34,80260
48,39,80260
9,7,80280
8,43,80280
11,8,80280
0,49,80280
11,43,80280
10,43,80280
9,34,80280
48,39,80280
9,7,80300
8,43,80300
33,31,80300
13,2,80300
2,23,80300
0,49,80300
48,39,80300
33,31,80320
13,2,80320
0,49,80320
10,43,80320
8,43,80340
13,2,80340
0,49,80340
9,34,80340
33,31,80360
13,2,80360
2,23,80360
0,49,80360
10,43,80360
9,34,80360
43,46,80380
13,2,80380
47,48,80380
2,23,80380
0,49,80380
10,43,80380
12,35,80380
49,21,80400
11,43,80400
11,10,80400
9,34,80400
48,37,80420
8,39,80420
49,21,80420
47,37,80420
11,10,80420
9,34,80420
0,21,80420
48,37,80440
10,43,80440
47,37,80440
9,34,80440
0,21,80440
9,7,80460
48,37,80460
9,34,80460
0,21,80460
8,45,80480
9,7,80480
48,37,80480
0,21,80480
48,37,80500
10,43,80500
0,21,80500
8,45,80520
48,37,80520
8,37,80520
45,37,80520
12,35,80520
0,21,80520
45,31,80540
48,37,80540
8,37,80540
45,37,80540
0,21,80540
45,31,80560
48,37,80560
47,37,80560
12,35,80560
31,39,80560
0,21,80560
9,7,80580
45,31,80580
47,37,80580
0,21,80580
9,7,80600
48,37,80600
8,37,80600
0,49,80600
45,37,80600
9,7,80620
48,37,80620
0,49,80620
9,34,80620
45,31,80640
48,37,80640
0,21,80640
8,31,80660
48,37,80660
11,46,80660
33,3,80660
31,39,80660
0,21,80660
29,34,80660
8,31,80680
48,37,80680
11,46,80680
47,37,80680
31,39,80680
0,21,80680
8,45,80700
8,31,80700
45,31,80700
45,39,80700
48,37,80700
47,37,80700
31,39,80700
0,21,80700
3,2,80700
48,37,80720
0,49,80720
0,21,80720
3,2,80720
48,37,80740
13,2,80740
11,46,80740
0,49,80740
0,21,80740
3,2,80740
48,37,80760
13,2,80760
0,49,80760
4,43,80760
0,21,80760
8,45,80780
48,37,80780
3,13,80780
13,2,80780
47,48,80780
0,49,80780
47,37,80780
0,21,80780
3,2,80780
47,48,80800
0,49,80800
11,4,80800
0,21,80800
3,2,80800
49,21,80820
0,49,80820
11,4,80820
48,4,80820
10,13,80820
3,2,80820
33,0,80840
2,49,80840
0,2,80840
3,2,80840
13,43,80840
0,3,80860
4,0,80860
2,49,80860
10,13,80860
4,3,80860
0,3,80880
48,2,80880
4,49,80880
4,0,80880
9,34,80880
4,3,80880
8,45,80900
4,0,80900
10,43,80900
4,3,80900
8,45,80920
8,43,80920
43,45,80920
10,13,80920
12,35,80920
2,42,80940
0,49,80940
12,35,80940
8,45,80960
0,49,80960
9,34,80960
2,44,80960
4,3,80960
48,21,80980
0,49,80980
2,44,80980
29,34,80980
13,12,80980
33,2,81000
48,22,81000
0,49,81000
2,44,81000
4,3,81000
33,2,81020
2,21,81020
9,7,81020
43,39,81020
48,2,81020
43,45,81020
0,49,81020
10,13,81020
48,33,81020
33,2,81040
9,7,81040
43,39,81040
8,43,81040
43,45,81040
0,49,81040
9,7,81060
8,43,81060
0,49,81060
4,3,81060
33,2,81080
43,39,81080
10,21,81080
13,12,81080
4,3,81080
33,2,81100
9,7,81100
10,22,81100
10,49,81100
0,49,81100
10,0,81100
9,34,81100
4,3,81100
9,7,81120
8,43,81120
0,49,81120
10,43,81120
9,34,81120
4,3,81120
10,45,81140
8,45,81140
43,45,81140
0,49,81140
10,43,81140
9,34,81140
7,34,81140
22,21,81140
43,45,81160
12,2,81160
0,49,81160
10,43,81160
9,34,81160
10,45,81180
48,2,81180
43,45,81180
0,49,81180
10,43,81180
9,34,81180
8,45,81200
8,43,81200
0,49,81200
8,10,81200
10,43,81200
13,46,81200
9,34,81200
10,45,81220
8,45,81220
2,21,81220
8,43,81220
43,45,81220
0,49,81220
10,43,81220
9,34,81220
13,12,81220
8,45,81240
2,21,81240
43,39,81240
8,43,81240
0,49,81240
9,34,81240
13,12,81240
8,45,81260
8,43,81260
48,2,81260
10,39,81260
43,45,81260
0,49,81260
10,43,81260
9,34,81260
47,2,81280
33,2,81280
0,49,81280
8,10,81280
9,34,81280
10,45,81300
47,2,81300
0,49,81300
10,43,81300
9,34,81300
10,45,81320
47,2,81320
8,43,81320
43,45,81320
8,10,81320
10,43,81320
9,34,81320
10,45,81340
47,2,81340
33,2,81340
0,49,81340
8,10,81340
10,43,81340
9,34,81340
9,7,81360
0,49,81360
47,44,81360
10,43,81360
2,30,81360
10,45,81380
33,2,81380
9,7,81380
0,49,81380
10,43,81380
9,34,81380
2,30,81380
33,2,81400
45,46,81400
43,39,81400
43,45,81400
0,49,81400
10,43,81400
9,34,81400
2,30,81400
33,2,81420
9,7,81420
43,45,81420
0,49,81420
2,30,81420
8,45,81440
33,2,81440
9,7,81440
8,43,81440
11,21,81440
0,49,81440
0,49,81460
8,10,81460
10,43,81460
13,46,81460
4,12,81460
2,30,81460
10,45,81480
33,2,81480
43,45,81480
4,13,81480
0,49,81480
10,43,81480
2,30,81480
10,45,81500
33,2,81500
43,39,81500
13,7,81500
8,43,81500
43,45,81500
10,43,81500
9,0,81500
8,28,81500
8,45,81520
33,2,81520
9,7,81520
8,43,81520
8,10,81520
10,43,81520
9,0,81520
11,0,81520
9,34,81520
33,2,81540
9,7,81540
9,34,81540
2,30,81540
33,2,81560
9,7,81560
10,43,81560
9,34,81560
2,30,81560
33,2,81580
9,7,81580
8,43,81580
0,49,81580
9,34,81580
2,30,81580
8,12,81580
33,2,81600
9,7,81600
47,8,81600
9,7,81620
9,0,81620
8,9,81620
12,43,81620
2,7,81620
8,7,81620
33,2,81640
47,48,81640
0,49,81640
10,43,81640
0,2,81640
8,7,81640
9,7,81660
2,49,81660
10,43,81660
10,13,81660
0,2,81660
8,9,81660
12,43,81660
13,43,81660
9,43,81680
8,43,81680
2,49,81680
10,43,81680
9,10,81680
2,49,81700
10,25,81700
8,9,81700
2,43,81700
33,2,81720
4,45,81720
9,4,81720
10,25,81720
11,9,81720
33,2,81740
4,45,81740
9,7,81740
0,34,81740
11,4,81740
10,25,81740
9,45,81740
33,2,81760
0,34,81760
10,25,81760
33,2,81780
10,25,81780
43,21,81780
0,7,81780
11,13,81800
0,34,81800
10,25,81800
43,21,81800
0,7,81800
33,2,81820
0,34,81820
0,29,81820
0,49,81820
10,25,81820
0,7,81820
33,2,81840
9,7,81840
0,34,81840
49,34,81840
0,49,81840
10,25,81840
4,3,81840
33,2,81860
9,7,81860
11,13,81860
13,2,81860
49,34,81860
10,25,81860
0,34,81880
13,2,81880
49,34,81880
0,49,81880
10,25,81880
33,2,81900
0,34,81900
13,2,81900
2,24,81900
13,24,81900
49,34,81900
33,2,81920
33,13,81920
8,34,81920
8,49,81920
0,34,81920
13,2,81920
2,24,81920
49,34,81920
11,45,81920
8,0,81920
33,2,81940
33,13,81940
8,34,81940
0,34,81940
13,2,81940
2,24,81940
0,29,81940
0,49,81940
8,0,81940
9,10,81940
33,2,81960
33,13,81960
8,49,81960
0,34,81960
13,2,81960
2,24,81960
11,46,81960
0,49,81960
33,2,81980
33,13,81980
8,34,81980
8,49,81980
0,34,81980
13,2,81980
2,24,81980
11,46,81980
0,49,81980
8,0,81980
45,28,81980
29,34,81980
9,43,82000
33,2,82000
33,13,82000
8,34,82000
13,2,82000
0,49,82000
8,0,82000
9,43,82020
33,2,82020
9,21,82020
8,34,82020
8,49,82020
0,34,82020
33,24,82020
13,2,82020
2,24,82020
0,49,82020
10,4,82020
8,0,82020
43,21,82020
9,43,82040
33,2,82040
9,21,82040
33,13,82040
8,49,82040
46,7,82040
0,34,82040
33,24,82040
13,2,82040
2,24,82040
10,21,82040
45,28,82040
9,43,82060
33,2,82060
9,21,82060
33,13,82060
8,49,82060
13,2,82060
2,24,82060
8,0,82060
10,43,82060
9,10,82060
10,21,82060
43,21,82060
29,34,82060
33,2,82080
4,45,82080
4,46,82080
33,13,82080
13,2,82080
2,24,82080
13,24,82080
10,43,82080
10,21,82080
29,34,82080
33,2,82100
33,13,82100
13,2,82100
13,21,82100
0,49,82100
29,34,82100
33,2,82120
13,21,82120
0,49,82120
29,34,82120
33,2,82140
13,21,82140
13,43,82140
2,37,82160
13,21,82160
2,37,82180
0,49,82180
8,10,82180
9,10,82180
8,9,82180
3,50,82180
2,37,82200
10,49,82200
0,49,82200
2,37,82220
0,49,82220
9,10,82220
33,2,82240
33,2,82260
10,7,82260
0,49,82260
9,10,82260
0,2,82260
9,7,82280
45,46,82280
13,2,82280
12,2,82280
0,49,82280
9,7,82300
45,46,82300
10,49,82300
9,10,82300
10,13,82300
9,13,82300
33,2,82320
9,7,82320
45,46,82320
0,2,82320
9,7,82340
2,37,82360
9,7,82380
2,37,82380
2,37,82400
0,49,82400
45,46,82420
2,37,82420
0,49,82420
11,9,82420
9,7,82440
2,37,82440
11,13,82440
0,49,82440
2,37,82460
0,49,82460
2,37,82480
0,49,82480
33,37,82480
2,37,82500
0,49,82500
9,49,82500
9,7,82520
45,46,82520
2,37,82520
11,7,82520
0,49,82520
33,2,82540
45,46,82540
2,37,82540
11,7,82540
0,49,82540
33,2,82560
9,7,82560
45,46,82560
0,49,82560
33,2,82580
9,7,82580
10,34,82580
0,49,82580
8,10,82580
43,21,82580
9,7,82600
10,34,82600
0,49,82600
8,10,82600
33,2,82620
2,50,82620
9,7,82620
45,46,82620
10,34,82620
10,49,82620
0,49,82620
33,50,82620
8,10,82620
33,2,82640
2,50,82640
9,7,82640
45,46,82640
0,49,82640
9,10,82640
10,13,82640
2,50,82660
45,46,82660
8,10,82660
8,9,82660
9,34,82660
33,2,82680
2,50,82680
0,49,82680
8,10,82680
9,10,82680
8,9,82680
9,34,82680
33,2,82700
2,50,82700
45,46,82700
10,34,82700
0,50,82700
43,7,82700
0,49,82700
8,10,82700
9,10,82700
9,34,82700
2,50,82720
10,34,82720
0,50,82720
43,7,82720
2,49,82720
8,10,82720
0,2,82720
2,50,82740
10,34,82740
0,50,82740
43,7,82740
2,49,82740
8,10,82740
0,2,82740
2,50,82760
45,46,82760
0,50,82760
43,7,82760
0,49,82760
8,10,82760
0,2,82760
45,28,82760
9,43,82780
9,7,82780
10,34,82780
43,7,82780
0,49,82780
8,10,82780
45,28,82780
9,43,82800
13,50,82800
10,34,82800
11,46,82800
43,7,82800
8,10,82800
9,43,82820
9,7,82820
10,34,82820
11,46,82820
43,7,82820
0,49,82820
43,50,82820
9,43,82840
9,7,82840
10,49,82840
11,46,82840
43,7,82840
0,49,82840
8,10,82840
43,50,82840
13,43,82840
10,45,82860
33,2,82860
9,7,82860
8,43,82860
8,34,82860
43,7,82860
11,43,82860
10,43,82860
11,50,82860
13,43,82860
10,46,82860
33,2,82880
9,7,82880
45,46,82880
8,43,82880
10,43,82880
10,46,82880
33,2,82900
9,7,82900
45,46,82900
8,43,82900
11,43,82900
10,43,82900
11,10,82900
33,2,82920
9,7,82920
45,46,82920
10,43,82920
33,2,82940
9,7,82940
11,13,82940
46,49,82940
9,7,82960
11,13,82960
33,2,82980
9,7,82980
33,49,82980
9,7,83000
0,49,83000
10,43,83000
33,49,83000
3,49,83000
9,7,83020
0,3,83020
8,10,83020
10,43,83020
3,2,83020
9,7,83040
11,9,83040
33,2,83060
9,7,83060
8,43,83060
10,38,83060
43,38,83060
8,10,83060
10,43,83060
9,13,83060
2,43,83060
9,2,83060
8,43,83080
13,2,83080
10,38,83080
8,10,83080
10,43,83080
9,13,83080
9,2,83080
8,43,83100
8,38,83100
8,10,83100
10,43,83100
9,13,83100
9,2,83100
8,43,83120
12,7,83120
10,38,83120
8,10,83120
10,43,83120
9,13,83120
9,2,83120
9,7,83160
11,28,83160
10,38,83160
9,49,83160
9,7,83180
13,2,83180
43,49,83180
11,28,83180
10,38,83180
13,49,83180
2,49,83180
9,45,83180
12,43,83180
9,7,83200
45,46,83200
11,46,83200
11,45,83200
10,38,83200
13,49,83200
9,7,83220
13,2,83220
9,7,83240
13,2,83240
11,7,83240
0,49,83240
10,43,83240
9,7,83260
45,46,83260
11,2,83260
11,8,83260
13,2,83260
0,49,83260
45,28,83260
10,45,83280
9,4,83280
0,49,83280
8,10,83280
0,49,83300
